d,N,hubble,rep,R_dS,H2,rho_est,n_causal_pairs,b1_mean,b1_std,b1_median,b1_min,b1_max,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread,R_est
2,128,0.0,0,0.0,0.0,-1.140625,4005,-1.140625,4.309753427909189,-1.0,-15.0,13.0,0.59375,-6.213319227450661,9.77158173245087,0.7194121510332998,15.98490095990153,2.28125
2,128,0.0,1,0.0,0.0,-0.65625,4259,-0.65625,4.221295528330136,-1.0,-11.0,11.0,0.515625,-5.9960753393837445,9.30689664537059,0.35074474974987524,15.302971984754336,1.3125
2,128,0.0,2,0.0,0.0,-0.796875,3895,-0.796875,4.1970215908874,-1.0,-11.0,11.0,0.59375,-5.711248010620972,8.890825693664379,0.26928707514334604,14.60207370428535,1.59375
2,128,0.0,3,0.0,0.0,-0.875,3722,-0.875,4.761499238685228,-1.0,-13.0,11.0,0.53125,-6.597137828245305,9.698385881650408,0.3124046810456029,16.29552370989571,1.75
2,128,0.0,4,0.0,0.0,-1.109375,4112,-1.109375,4.502142502117742,-1.0,-15.0,13.0,0.609375,-6.295632695620871,9.946022837759056,0.7464428956913292,16.241655533379927,2.21875
2,128,0.0,5,0.0,0.0,-1.3125,4006,-1.3125,4.785639325105894,-1.0,-15.0,13.0,0.6015625,-6.952890847518323,10.238390445652689,0.7125113113676065,17.191281293171013,2.625
2,128,0.0,6,0.0,0.0,0.21875,3973,0.21875,4.508563899680252,1.0,-17.0,17.0,0.4375,-6.339239974581487,9.852022301862785,1.0185276849388334,16.19126227644427,-0.4375
2,128,0.0,7,0.0,0.0,-0.640625,4009,-0.640625,4.659892660713871,1.0,-13.0,15.0,0.4921875,-6.371447411146831,9.881958257398809,0.6246649420554959,16.25340566854564,1.28125
2,128,0.25,0,0.125,0.0625,-1.140625,3918,-1.140625,4.678298259984607,-1.0,-11.0,13.0,0.6328125,-6.9384720530197175,9.816048817452486,0.6692225347711229,16.754520870472206,2.28125
2,128,0.25,1,0.125,0.0625,-0.65625,3708,-0.65625,4.03971978452714,-1.0,-13.0,15.0,0.53125,-5.790753360841726,9.47542211500923,0.7654477556545363,15.266175475850957,1.3125
2,128,0.25,2,0.125,0.0625,0.09375,3741,0.09375,3.4898009882370085,1.0,-9.0,11.0,0.46875,-5.590890394862875,9.175598059245246,0.2506212381134727,14.76648845410812,-0.1875
2,128,0.25,3,0.125,0.0625,-0.640625,3755,-0.640625,4.50301006098976,-1.0,-19.0,9.0,0.515625,-5.578481297629016,9.87681329147195,0.4815817655653003,15.455294589100966,1.28125
2,128,0.25,4,0.125,0.0625,-0.8125,3460,-0.8125,4.3043401062183735,-1.0,-9.0,11.0,0.609375,-6.367607655287372,9.496452703096917,0.22000700913946503,15.86406035838429,1.625
2,128,0.25,5,0.125,0.0625,-0.515625,3715,-0.515625,4.442311432055952,-1.0,-11.0,15.0,0.5546875,-6.065301499474186,9.090723851447443,0.11769226569522573,15.15602535092163,1.03125
2,128,0.25,6,0.125,0.0625,-0.859375,3421,-0.859375,5.118493392530169,-1.0,-13.0,15.0,0.6171875,-8.041193584185937,10.718066549483009,1.00883572288528,18.759260133668946,1.71875
2,128,0.25,7,0.125,0.0625,-0.671875,3772,-0.671875,4.364468350712948,-1.0,-15.0,9.0,0.515625,-6.395379863709638,9.370519874716301,0.5343871966866267,15.76589973842594,1.34375
2,128,0.5,0,0.5,0.25,-0.515625,3301,-0.515625,3.8870465471068134,-1.0,-11.0,15.0,0.5859375,-5.405792975966831,9.244416072184414,0.8162558445876567,14.650209048151245,1.03125
2,128,0.5,1,0.5,0.25,-1.546875,3179,-1.546875,4.621382664784966,-1.0,-17.0,11.0,0.625,-6.628328210391748,9.985778574850258,0.5973912236733607,16.614106785242008,3.09375
2,128,0.5,2,0.5,0.25,-1.96875,3480,-1.96875,4.322791162836808,-1.0,-11.0,9.0,0.6328125,-7.13196166401284,10.252784260066157,0.8246773584911917,17.384745924079,3.9375
2,128,0.5,3,0.5,0.25,-0.03125,3430,-0.03125,4.069585167741302,0.0,-11.0,11.0,0.5,-6.57822017562225,10.252144483606271,0.5070224151642737,16.830364659228522,0.0625
2,128,0.5,4,0.5,0.25,-0.515625,3004,-0.515625,4.181402977395864,-1.0,-17.0,11.0,0.5390625,-5.828306360544352,8.967698986914838,0.2521746714326891,14.79600534745919,1.03125
2,128,0.5,5,0.5,0.25,-1.140625,3340,-1.140625,4.45942536762025,-1.0,-13.0,13.0,0.5625,-6.633393750360246,10.243385013030236,1.3803015152692915,16.876778763390483,2.28125
2,128,0.5,6,0.5,0.25,-0.5,3266,-0.5,4.02336923485777,-1.0,-11.0,11.0,0.546875,-5.610412775545001,9.467652624102621,0.9820340104195928,15.078065399647622,1.0
2,128,0.5,7,0.5,0.25,-0.96875,3280,-0.96875,4.092557078099217,-1.0,-11.0,13.0,0.5625,-5.9592507320065415,9.132416973298302,0.10710254080439086,15.091667705304843,1.9375
2,128,1.0,0,2.0,1.0,-1.453125,2431,-1.453125,3.768411831843091,-1.0,-11.0,9.0,0.6171875,-5.621595500490803,9.028181674227014,0.5582595213799006,14.649777174717816,2.90625
2,128,1.0,1,2.0,1.0,-1.421875,2573,-1.421875,4.587022071494206,-1.0,-15.0,11.0,0.6328125,-6.5480566762811705,9.53455748391828,0.3888947742979152,16.082614160199448,2.84375
2,128,1.0,2,2.0,1.0,-0.265625,2767,-0.265625,3.9439121896126186,-1.0,-9.0,11.0,0.5703125,-5.8939027765768275,9.386103159346128,0.647209556546759,15.280005935922954,0.53125
2,128,1.0,3,2.0,1.0,-1.0625,2535,-1.0625,4.1226318960101205,-1.0,-13.0,9.0,0.5546875,-6.20732440603415,9.28796346227624,0.6826378377426021,15.49528786831039,2.125
2,128,1.0,4,2.0,1.0,0.078125,2543,0.078125,4.129939041242014,-1.0,-11.0,11.0,0.5078125,-5.670415616226809,9.258503663100202,0.4885236741272383,14.928919279327012,-0.15625
2,128,1.0,5,2.0,1.0,-1.71875,3123,-1.71875,4.794100378329598,-1.0,-15.0,9.0,0.546875,-6.687088904420599,10.038089419274005,0.7994804447840682,16.725178323694603,3.4375
2,128,1.0,6,2.0,1.0,-0.421875,2673,-0.421875,4.184438012968408,0.0,-13.0,11.0,0.5,-5.799749662628695,9.188055368407959,0.4606910159429898,14.987805031036654,0.84375
2,128,1.0,7,2.0,1.0,-0.625,2878,-0.625,3.7811208655635435,-1.0,-9.0,9.0,0.5390625,-6.164460690212029,10.096238683549501,1.4339167642551693,16.26069937376153,1.25
2,128,2.0,0,8.0,4.0,-0.703125,1518,-0.703125,3.7340481028469625,-1.0,-9.0,9.0,0.515625,-5.806118287794744,8.81436727368036,0.38431255179630774,14.620485561475105,1.40625
2,128,2.0,1,8.0,4.0,-1.015625,1622,-1.015625,3.94093971780526,-1.0,-9.0,9.0,0.53125,-5.74305519363636,8.971572947728465,0.5870762192557137,14.714628141364825,2.03125
2,128,2.0,2,8.0,4.0,-0.953125,1440,-0.953125,3.3954458815264603,-1.0,-11.0,7.0,0.5859375,-4.863801031765266,8.294519690079829,0.147302089168436,13.158320721845094,1.90625
2,128,2.0,3,8.0,4.0,-1.0,1342,-1.0,3.5355339059327378,-1.0,-13.0,7.0,0.609375,-5.228913121480631,8.233221175731266,0.7963610952124149,13.462134297211897,2.0
2,128,2.0,4,8.0,4.0,-0.546875,1278,-0.546875,3.3092185987593807,-1.0,-11.0,11.0,0.5390625,-6.088458958797747,9.084420128047078,0.42838956196566436,15.172879086844826,1.09375
2,128,2.0,5,8.0,4.0,-0.640625,1501,-0.640625,4.080698421762505,-1.0,-15.0,11.0,0.578125,-5.4126902623200985,8.745491650796735,0.10592522777446867,14.158181913116834,1.28125
2,128,2.0,6,8.0,4.0,-0.796875,1425,-0.796875,3.715170283361854,-1.0,-9.0,9.0,0.546875,-5.133780397809647,8.592545734128885,0.6040887112862174,13.726326131938531,1.59375
2,128,2.0,7,8.0,4.0,-0.65625,1494,-0.65625,3.1830544980411504,-1.0,-11.0,7.0,0.578125,-5.844269549072796,8.897926085229464,0.4895424030576603,14.74219563430226,1.3125
