d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,layer_width_std
4,128,0.0,0,0.0,0.0,1388,4.578125,16.00273871824367,0.3515625,25.6,9.891410415102591
4,128,0.0,1,0.0,0.0,1531,0.5625,22.904267479009235,0.3515625,25.6,11.341957503006261
4,128,0.0,2,0.0,0.0,1690,0.0625,20.06230529500536,0.359375,25.6,10.947145746723207
4,128,0.0,3,0.0,0.0,1505,5.2109375,27.002214129050486,0.375,32.0,10.198039027185569
4,128,0.0,4,0.0,0.0,1412,-0.171875,22.74969415144685,0.4140625,32.0,12.103718436910205
4,128,0.0,5,0.0,0.0,1742,2.6015625,26.579285826722163,0.3203125,25.6,10.537551897855593
4,128,0.0,6,0.0,0.0,1385,1.734375,26.016966932357334,0.3828125,25.6,12.175385004179539
4,128,0.0,7,0.0,0.0,1177,0.3046875,14.925103953652844,0.421875,25.6,13.093509842666327
4,128,0.0,8,0.0,0.0,1318,-1.53125,16.59816325493577,0.375,25.6,9.562426470305537
4,128,0.0,9,0.0,0.0,1525,-1.671875,24.407065247267543,0.3515625,25.6,11.001818031580054
4,128,0.0,10,0.0,0.0,1417,1.6796875,22.451313155411285,0.3828125,21.333333333333332,12.801909579781013
4,128,0.0,11,0.0,0.0,1371,-0.46875,19.30428122043139,0.3828125,25.6,13.92264342716569
4,128,0.0,12,0.0,0.0,1563,-0.984375,24.86431440557682,0.359375,21.333333333333332,14.079141387961917
4,128,0.0,13,0.0,0.0,1552,1.8203125,24.575277717705323,0.3515625,25.6,8.708616422830897
4,128,0.0,14,0.0,0.0,1588,-3.859375,31.255433121449062,0.3515625,25.6,10.131140113531153
4,128,0.0,15,0.0,0.0,1274,0.296875,22.271534303553832,0.390625,25.6,11.534296684236972
4,128,0.25,0,0.75,0.0625,1024,3.4921875,16.13371668168385,0.421875,25.6,12.784365451597509
4,128,0.25,1,0.75,0.0625,1120,2.921875,19.655871170832775,0.4375,32.0,8.916277250063503
4,128,0.25,2,0.75,0.0625,896,-0.59375,15.403143703072434,0.4296875,25.6,16.48757107641996
4,128,0.25,3,0.75,0.0625,1060,3.4609375,22.485725452408552,0.4375,32.0,15.116216457830975
4,128,0.25,4,0.75,0.0625,835,2.3515625,12.871716719559739,0.46875,25.6,15.49967741599805
4,128,0.25,5,0.75,0.0625,1125,-1.390625,20.184397739575363,0.4453125,32.0,9.027735042633894
4,128,0.25,6,0.75,0.0625,1143,2.84375,19.8062638056121,0.40625,32.0,11.811011811017716
4,128,0.25,7,0.75,0.0625,987,-1.859375,13.763478833833219,0.4296875,25.6,15.21315220458929
4,128,0.25,8,0.75,0.0625,1095,3.75,17.125456198303155,0.4296875,25.6,10.8
4,128,0.25,9,0.75,0.0625,1119,3.8828125,17.05351003722822,0.4140625,25.6,14.221111067704943
4,128,0.25,10,0.75,0.0625,1188,1.3671875,21.58445298912724,0.4453125,25.6,14.499655168313486
4,128,0.25,11,0.75,0.0625,1028,1.5625,16.818307547134463,0.4296875,25.6,13.305637902783918
4,128,0.25,12,0.75,0.0625,1020,-0.5,19.470731239478397,0.4609375,32.0,6.819090848492928
4,128,0.25,13,0.75,0.0625,1204,2.1484375,18.87586498173246,0.4375,25.6,13.632314550361578
4,128,0.25,14,0.75,0.0625,1054,-1.046875,19.061930063201235,0.3984375,32.0,14.594519519326424
4,128,0.25,15,0.75,0.0625,883,-0.15625,15.161339351703068,0.484375,25.6,15.107613974417006
4,128,0.5,0,3.0,0.25,707,-2.9296875,18.505144383450343,0.5078125,32.0,12.36931687685298
4,128,0.5,1,3.0,0.25,648,-0.3203125,13.247012395341969,0.59375,32.0,19.912307751739878
4,128,0.5,2,3.0,0.25,794,-1.6015625,13.888698105243478,0.5078125,25.6,18.682612237050794
4,128,0.5,3,3.0,0.25,621,0.3359375,9.896556648455752,0.5390625,32.0,16.658331248957683
4,128,0.5,4,3.0,0.25,707,2.2109375,12.430212905300285,0.515625,32.0,12.529964086141668
4,128,0.5,5,3.0,0.25,774,-0.5625,15.249871925691703,0.546875,32.0,15.215124054702938
4,128,0.5,6,3.0,0.25,734,0.34375,14.147348194538084,0.5546875,32.0,17.24818831066034
4,128,0.5,7,3.0,0.25,543,2.0859375,10.39157361741203,0.5625,32.0,15.937377450509228
4,128,0.5,8,3.0,0.25,697,1.6171875,11.077934919913718,0.4765625,32.0,9.82344135219425
4,128,0.5,9,3.0,0.25,687,0.03125,12.162915910154933,0.515625,32.0,16.748134224444225
4,128,0.5,10,3.0,0.25,688,1.671875,13.846315718788698,0.515625,32.0,16.15549442140351
4,128,0.5,11,3.0,0.25,679,0.6015625,13.6458211573578,0.53125,32.0,15.668439615992398
4,128,0.5,12,3.0,0.25,563,0.828125,12.551835881032503,0.5234375,32.0,15.827191791344413
4,128,0.5,13,3.0,0.25,791,-0.5625,13.891741026595623,0.5546875,32.0,19.32614809008769
4,128,0.5,14,3.0,0.25,658,2.3203125,13.059319944099071,0.5859375,32.0,17.790446874657196
4,128,0.5,15,3.0,0.25,627,2.0625,11.026069959418905,0.5078125,32.0,10.074720839804943
4,128,1.0,0,12.0,1.0,172,0.203125,2.867815411489205,0.7578125,42.666666666666664,28.241026106633512
4,128,1.0,1,12.0,1.0,200,0.9140625,4.693791350933033,0.8203125,42.666666666666664,19.93879523831757
4,128,1.0,2,12.0,1.0,275,1.234375,5.551582509462955,0.75,42.666666666666664,25.69478978746902
4,128,1.0,3,12.0,1.0,156,0.796875,4.102894129072185,0.7265625,42.666666666666664,26.386023236217735
4,128,1.0,4,12.0,1.0,315,0.46875,7.932269438029699,0.6796875,32.0,21.598611066455177
4,128,1.0,5,12.0,1.0,227,-0.1484375,2.5189588739385464,0.734375,42.666666666666664,28.58126814696802
4,128,1.0,6,12.0,1.0,277,0.6328125,4.438593340219821,0.765625,42.666666666666664,27.19477073916152
4,128,1.0,7,12.0,1.0,196,-0.1015625,3.0306760893559295,0.7734375,42.666666666666664,33.229839334884275
4,128,1.0,8,12.0,1.0,199,0.0703125,2.669806856748958,0.65625,42.666666666666664,27.207025236549146
4,128,1.0,9,12.0,1.0,199,-0.125,5.0156006619347195,0.734375,42.666666666666664,28.4526897771644
4,128,1.0,10,12.0,1.0,294,0.609375,5.895223669155819,0.6875,32.0,26.485845276298054
4,128,1.0,11,12.0,1.0,312,-1.2421875,6.689247544742514,0.6953125,42.666666666666664,23.098821518760552
4,128,1.0,12,12.0,1.0,295,-0.3671875,4.548129927766329,0.71875,42.666666666666664,31.372316175606514
4,128,1.0,13,12.0,1.0,287,0.9453125,6.183784987961964,0.71875,32.0,29.13760456866693
4,128,1.0,14,12.0,1.0,365,0.09375,8.981263048007223,0.6875,42.666666666666664,19.344824171395878
4,128,1.0,15,12.0,1.0,275,1.15625,5.691876750027182,0.7109375,42.666666666666664,21.913973218524802
4,128,2.0,0,48.0,4.0,30,0.765625,0.5075119302784911,0.9296875,64.0,39.0
4,128,2.0,1,48.0,4.0,13,0.8984375,0.3269136867641825,0.953125,64.0,52.0
4,128,2.0,2,48.0,4.0,10,0.921875,0.2960514893983815,0.9765625,64.0,55.0
4,128,2.0,3,48.0,4.0,18,0.859375,0.4095419506900361,0.9296875,64.0,49.0
4,128,2.0,4,48.0,4.0,20,0.84375,0.38400642898264087,0.9609375,64.0,45.0
4,128,2.0,5,48.0,4.0,33,0.8203125,0.8425555781927683,0.9609375,42.666666666666664,39.65125751123439
4,128,2.0,6,48.0,4.0,9,0.9296875,0.25567294018677456,0.953125,64.0,55.0
4,128,2.0,7,48.0,4.0,16,0.875,0.33071891388307384,0.984375,64.0,48.0
