d,N,hubble,rep,R_dS,log_H,log_H_std,n_causal,order_frac,log_H_per_N,log_H_per_NlogN
2,32,0.0,0,0.0,47.54021263533614,3.1836914517242363,198,0.39919354838709675,1.4856316448542544,0.4286626813237893
2,32,0.0,1,0.0,42.72015719587694,3.097772558762874,255,0.5141129032258065,1.3350049123711545,0.38520099332805396
2,32,0.0,2,0.0,42.55182586882144,3.305795783856277,224,0.45161290322580644,1.32974455840067,0.38368317601074625
2,32,0.0,3,0.0,43.201690545305475,2.960581698073812,230,0.4637096774193548,1.350052829540796,0.3895429044233239
2,32,0.0,4,0.0,38.63317379507258,2.9476103718682705,283,0.5705645161290323,1.207286681096018,0.34834930154970417
2,32,0.2,0,0.08000000000000002,41.974199337718154,3.20044474549092,252,0.5080645161290323,1.3116937293036923,0.37847480768631747
2,32,0.2,1,0.08000000000000002,40.25682655254252,3.5209415151478396,250,0.5040322580645161,1.2580258297669538,0.3629895251830015
2,32,0.2,2,0.08000000000000002,43.57501121358361,2.9692887879179124,236,0.47580645161290325,1.3617191004244877,0.39290907865323776
2,32,0.2,3,0.08000000000000002,47.0251987518573,4.005958321571143,196,0.3951612903225806,1.4695374609955407,0.424018881475765
2,32,0.2,4,0.08000000000000002,41.686881849319796,3.947274781035253,239,0.48185483870967744,1.3027150577912436,0.3758841107133613
2,32,0.5,0,0.5,44.36105676451234,3.5669598452551203,202,0.40725806451612906,1.3862830238910107,0.3999967287672235
2,32,0.5,1,0.5,44.79460081481676,3.4228924934061187,198,0.39919354838709675,1.3998312754630238,0.4039059278383554
2,32,0.5,2,0.5,46.051094561748435,3.7452686870493026,204,0.4112903225806452,1.4390967050546386,0.41523553594839485
2,32,0.5,3,0.5,42.548648014501104,3.972476312054804,220,0.4435483870967742,1.3296452504531595,0.3836545217940674
2,32,0.5,4,0.5,47.44387430229831,3.4602001467348282,203,0.4092741935483871,1.4826210719468222,0.4277940136030319
2,32,1.0,0,2.0,45.381889185930625,3.564683698681379,179,0.36088709677419356,1.418184037060332,0.4092014154669662
2,32,1.0,1,2.0,48.850592671690166,3.4000045091112265,169,0.3407258064516129,1.5265810209903177,0.44047817369958836
2,32,1.0,2,2.0,49.01364635396694,3.3504857334473606,134,0.2701612903225806,1.531676448561467,0.4419484033172095
2,32,1.0,3,2.0,48.2715441587058,4.0210618880333735,153,0.3084677419354839,1.5084857549595563,0.43525698358635917
2,32,1.0,4,2.0,49.45879234059714,3.8253096953650947,172,0.3467741935483871,1.5455872606436607,0.4459622152383534
2,32,2.0,0,8.0,57.342289386500674,4.261479545705097,76,0.1532258064516129,1.791946543328146,0.5170464783195272
2,32,2.0,1,8.0,61.04064682604968,4.7791720292156885,70,0.14112903225806453,1.9075202133140525,0.5503939904287283
2,32,2.0,2,8.0,56.200639157403245,4.930233282110375,106,0.21370967741935484,1.7562699736688514,0.5067523962948485
2,32,2.0,3,8.0,60.524424152425865,4.78916469412286,86,0.17338709677419356,1.8913882547633083,0.5457392911085313
2,32,2.0,4,8.0,57.94165395230433,3.7991004170778098,99,0.19959677419354838,1.8106766860095103,0.5224508551118366
2,48,0.0,0,0.0,69.17543926383166,5.093049773830119,587,0.5203900709219859,1.4411549846631597,0.37227593726143754
2,48,0.0,1,0.0,68.5521931045926,4.278746650250432,548,0.4858156028368794,1.4281706896790125,0.36892186317756503
2,48,0.0,2,0.0,75.1461962251685,5.237742398074801,584,0.5177304964539007,1.5655457546910103,0.4044082831864759
2,48,0.0,3,0.0,70.36563414026095,4.496944773236732,612,0.5425531914893617,1.4659507112554364,0.3786811139811196
2,48,0.0,4,0.0,68.10091894774538,5.745996344985197,560,0.49645390070921985,1.4187691447446955,0.3664932770855935
2,48,0.2,0,0.08000000000000002,73.41288262958894,4.841171533250146,534,0.4734042553191489,1.5294350547831028,0.3950802478284156
2,48,0.2,1,0.08000000000000002,70.85092209535931,4.673682208784786,573,0.5079787234042553,1.4760608769866523,0.3812927494148592
2,48,0.2,2,0.08000000000000002,70.73864127947338,3.976757749641839,521,0.46187943262411346,1.4737216933223622,0.38068849671454763
2,48,0.2,3,0.08000000000000002,72.32810877658126,4.686193881373786,520,0.46099290780141844,1.5068355995121097,0.38924240701175056
2,48,0.2,4,0.08000000000000002,72.32270183309679,4.582439351398086,533,0.4725177304964539,1.5067229548561831,0.3892133088957888
2,48,0.5,0,0.5,75.83638471906055,4.8309886675297165,458,0.40602836879432624,1.5799246816470947,0.40812261548685735
2,48,0.5,1,0.5,72.67552085722937,4.931667302345268,476,0.4219858156028369,1.5140733511922786,0.3911120468624778
2,48,0.5,2,0.5,79.18362188592842,4.615727602623516,420,0.3723404255319149,1.6496587892901753,0.4261361744435198
2,48,0.5,3,0.5,74.51683128611549,4.958159474226275,432,0.3829787234042553,1.552433985127406,0.40102128015391336
2,48,0.5,4,0.5,76.25119577411019,5.237879773297986,447,0.3962765957446808,1.5885665786272956,0.4103549710157618
2,48,1.0,0,2.0,80.95344719716131,5.980966426914703,369,0.3271276595744681,1.6865301499408607,0.4356607019859524
2,48,1.0,1,2.0,82.0556816938557,5.0407531941330195,371,0.32890070921985815,1.7094933686219937,0.4415925093543711
2,48,1.0,2,2.0,83.91624085823499,5.495406806268219,332,0.29432624113475175,1.7482550178798955,0.4516053320284412
2,48,1.0,3,2.0,86.14338560070689,5.9900083346333695,334,0.29609929078014185,1.7946538666813936,0.4635909790332751
2,48,1.0,4,2.0,81.85373330161592,5.3294005844943175,427,0.37854609929078015,1.7052861104503316,0.44050569981908544
2,48,2.0,0,8.0,98.2172030711825,7.067377059039606,218,0.19326241134751773,2.0461917306496353,0.5285676783210369
2,48,2.0,1,8.0,106.15778438745899,6.388188783695584,169,0.149822695035461,2.211620508072062,0.5713008706704649
2,48,2.0,2,8.0,95.61817140311841,6.454596504002197,198,0.17553191489361702,1.9920452375649669,0.5145806771469569
2,48,2.0,3,8.0,103.49089235325305,6.449480070730192,175,0.1551418439716312,2.1560602573594383,0.5569486707831246
2,48,2.0,4,8.0,105.63148785947836,6.481172809939249,159,0.14095744680851063,2.2006559970724657,0.5684685426749148
2,64,0.0,0,0.0,105.84783759473011,6.222063119730618,928,0.4603174603174603,1.653872462417658,0.39767226663212896
2,64,0.0,1,0.0,98.01752043701433,5.834088590280397,1092,0.5416666666666666,1.5315237568283488,0.368253621496649
2,64,0.0,2,0.0,103.72601507637887,5.8688123156129155,1083,0.5372023809523809,1.6207189855684199,0.3897005405256918
2,64,0.0,3,0.0,99.28051463757491,4.706083371105947,1015,0.5034722222222222,1.551258041212108,0.3729987138659726
