step,F,accepted,label,comp_frac,n_layers,d_eff,aw,aw_ratio,height_ratio,width_ratio
0,36.90945316990554,1,dim_Lor2D,0.36666666666666664,5,2.8054,5,0.3125,0.3125,0.3125
10,24.471834845785544,9,dim_Lor2D,0.6583333333333333,9,1.0554000000000001,3,0.1875,0.5625,0.1875
20,24.11987960339671,14,dim_Lor2D,0.7083333333333334,10,0.7553999999999998,3,0.1875,0.625,0.1875
30,31.067682210108693,22,dim_Lor2D,0.43333333333333335,9,2.4054,7,0.4375,0.5625,0.3125
40,30.70075302644012,26,dim_Lor2D,0.5,8,2.0054,7,0.4375,0.5,0.25
50,28.648347336946447,31,dim_Lor2D,0.425,9,2.4554,6,0.375,0.5625,0.25
60,26.55500152500576,36,dim_Lor2D,0.4583333333333333,9,2.2554000000000003,5,0.3125,0.5625,0.25
70,21.79781361989821,44,dim_Lor2D,0.5416666666666666,10,1.7554000000000003,6,0.375,0.625,0.3125
80,23.16839962308703,51,dim_Lor2D,0.5666666666666667,9,1.6054000000000002,6,0.375,0.5625,0.375
90,24.991705709519746,58,dim_Lor2D,0.48333333333333334,8,2.1054,5,0.3125,0.5,0.3125
100,23.26650858435055,66,dim_Lor2D,0.575,8,1.5554000000000003,4,0.25,0.5,0.1875
110,22.361242666480784,72,dim_Lor2D,0.7583333333333333,12,0.5,3,0.1875,0.75,0.1875
120,28.750065665296095,76,dim_Lor2D,0.38333333333333336,8,2.7054,3,0.1875,0.5,0.1875
130,20.95836854792375,83,dim_Lor2D,0.5833333333333334,10,1.5053999999999998,3,0.1875,0.625,0.1875
140,30.90619335076741,91,dim_Lor2D,0.38333333333333336,6,2.7054,5,0.3125,0.375,0.3125
150,27.55948378646174,101,dim_Lor2D,0.5583333333333333,8,1.6554,6,0.375,0.5,0.375
160,24.6926927662524,106,dim_Lor2D,0.675,10,0.9553999999999998,4,0.25,0.625,0.25
170,31.371341704189586,111,dim_Lor2D,0.4,8,2.6054,5,0.3125,0.5,0.25
180,22.344915166535795,119,dim_Lor2D,0.5833333333333334,10,1.5053999999999998,4,0.25,0.625,0.1875
190,27.502890861005177,126,dim_Lor2D,0.5333333333333333,8,1.8054000000000001,5,0.3125,0.5,0.25
