step,F,accepted,label,comp_frac,n_layers,d_eff,aw,aw_ratio,height_ratio,width_ratio
0,66.56016143687991,1,random_rep0,0.14166666666666666,4,4.1554,10,0.625,0.25,0.625
10,57.28515999872856,9,random_rep0,0.19166666666666668,5,3.8554000000000004,9,0.5625,0.3125,0.5625
20,48.76175224518158,16,random_rep0,0.25,5,3.5054,7,0.4375,0.3125,0.4375
30,44.43502859710124,21,random_rep0,0.275,6,3.3554,8,0.5,0.375,0.375
40,36.91812540142029,30,random_rep0,0.35833333333333334,6,2.8554,6,0.375,0.375,0.3125
50,35.80089663733356,35,random_rep0,0.325,8,3.0554,6,0.375,0.5,0.25
60,26.243314123016013,41,random_rep0,0.4666666666666667,8,2.2054,7,0.4375,0.5,0.375
70,26.837152563151133,47,random_rep0,0.6666666666666666,9,1.0054000000000003,5,0.3125,0.5625,0.3125
80,26.16610501128625,57,random_rep0,0.5083333333333333,7,1.9554000000000002,5,0.3125,0.4375,0.3125
90,23.531089950483487,66,random_rep0,0.85,11,0.5,3,0.1875,0.6875,0.1875
100,22.75567731305661,75,random_rep0,0.8166666666666667,11,0.5,4,0.25,0.6875,0.25
110,27.456137375460703,81,random_rep0,0.44166666666666665,8,2.3554000000000004,5,0.3125,0.5,0.3125
120,21.11130698303106,88,random_rep0,0.5583333333333333,10,1.6554,4,0.25,0.625,0.25
130,26.288256500776555,95,random_rep0,0.725,10,0.6554000000000002,4,0.25,0.625,0.25
140,24.524201855481078,100,random_rep0,0.5166666666666667,8,1.9053999999999998,6,0.375,0.5,0.375
150,25.12423673050262,106,random_rep0,0.825,10,0.5,3,0.1875,0.625,0.1875
160,23.651804096463263,115,random_rep0,0.5666666666666667,9,1.6054000000000002,4,0.25,0.5625,0.25
170,23.762596951071767,121,random_rep0,0.6166666666666667,10,1.3054,4,0.25,0.625,0.1875
180,21.77090409238413,128,random_rep0,0.6083333333333333,10,1.3554000000000004,5,0.3125,0.625,0.25
190,21.13167088559611,133,random_rep0,0.5916666666666667,11,1.4554,6,0.375,0.6875,0.3125
200,25.425188694441438,140,random_rep0,0.475,10,2.1554,6,0.375,0.625,0.25
210,20.487085479540614,146,random_rep0,0.65,11,1.1054,4,0.25,0.6875,0.25
220,23.05319115550323,151,random_rep0,0.7583333333333333,12,0.5,4,0.25,0.75,0.25
230,17.220358809163695,156,random_rep0,0.55,11,1.7053999999999998,5,0.3125,0.6875,0.3125
240,33.151605656517766,160,random_rep0,0.375,8,2.7554,7,0.4375,0.5,0.375
250,25.2965003063553,167,random_rep0,0.5416666666666666,8,1.7554000000000003,5,0.3125,0.5,0.3125
260,22.894606268354742,174,random_rep0,0.55,9,1.7053999999999998,6,0.375,0.5625,0.25
270,25.501532055256686,181,random_rep0,0.7,9,0.8054000000000003,4,0.25,0.5625,0.1875
280,26.614536994323466,188,random_rep0,0.43333333333333335,9,2.4054,5,0.3125,0.5625,0.3125
290,27.336547602123904,192,random_rep0,0.425,9,2.4554,5,0.3125,0.5625,0.25
300,24.2762391566576,199,random_rep0,0.5833333333333334,9,1.5053999999999998,4,0.25,0.5625,0.25
