step,F,accepted,label,comp_frac,n_layers,d_eff,aw,aw_ratio,height_ratio,width_ratio
0,70.8504925753255,1,sediment_rep0,0.125,3,4.2554,9,0.5625,0.1875,0.5625
10,33.81789420197149,10,sediment_rep0,0.4,7,2.6054,6,0.375,0.4375,0.375
20,24.42714087226653,15,sediment_rep0,0.5166666666666667,7,1.9053999999999998,4,0.25,0.4375,0.1875
30,25.077437793218014,23,sediment_rep0,0.6666666666666666,9,1.0054000000000003,5,0.3125,0.5625,0.25
40,26.503132041633304,31,sediment_rep0,0.5083333333333333,8,1.9554000000000002,6,0.375,0.5,0.25
50,22.20324796937643,35,sediment_rep0,0.65,10,1.1054,4,0.25,0.625,0.1875
60,23.09621359848325,44,sediment_rep0,0.5166666666666667,10,1.9053999999999998,5,0.3125,0.625,0.3125
70,19.499278173396107,47,sediment_rep0,0.6416666666666667,11,1.1553999999999998,5,0.3125,0.6875,0.25
80,23.3900798179026,53,sediment_rep0,0.5166666666666667,11,1.9053999999999998,6,0.375,0.6875,0.1875
90,24.260377404616595,59,sediment_rep0,0.5416666666666666,10,1.7554000000000003,6,0.375,0.625,0.25
100,21.684287657939823,69,sediment_rep0,0.8083333333333333,13,0.5,3,0.1875,0.8125,0.125
110,23.16247068567055,74,sediment_rep0,0.48333333333333334,10,2.1054,3,0.1875,0.625,0.1875
120,27.853631582663937,80,sediment_rep0,0.4,9,2.6054,5,0.3125,0.5625,0.3125
130,25.108059202804508,84,sediment_rep0,0.525,9,1.8554,5,0.3125,0.5625,0.3125
140,28.382402338861432,92,sediment_rep0,0.4166666666666667,9,2.5054,6,0.375,0.5625,0.3125
150,17.509366387410296,99,sediment_rep0,0.55,11,1.7053999999999998,5,0.3125,0.6875,0.25
160,21.643279177788504,106,sediment_rep0,0.8666666666666667,12,0.5,3,0.1875,0.75,0.1875
170,26.60993816488685,111,sediment_rep0,0.5416666666666666,9,1.7554000000000003,4,0.25,0.5625,0.25
180,20.16489722033112,117,sediment_rep0,0.7083333333333334,12,0.7553999999999998,4,0.25,0.75,0.1875
190,21.78208260366623,127,sediment_rep0,0.6083333333333333,11,1.3554000000000004,4,0.25,0.6875,0.1875
200,18.36397891157424,136,sediment_rep0,0.875,14,0.5,3,0.1875,0.875,0.125
210,25.881736964182263,143,sediment_rep0,0.425,9,2.4554,4,0.25,0.5625,0.25
220,23.094429501012208,149,sediment_rep0,0.6333333333333333,10,1.2054000000000002,4,0.25,0.625,0.25
230,25.72787508869598,156,sediment_rep0,0.5,8,2.0054,5,0.3125,0.5,0.25
240,29.854847974690536,164,sediment_rep0,0.4666666666666667,8,2.2054,5,0.3125,0.5,0.3125
250,26.741615709857992,172,sediment_rep0,0.75,10,0.5054000000000001,3,0.1875,0.625,0.125
260,28.067816959893,180,sediment_rep0,0.5,9,2.0054,5,0.3125,0.5625,0.1875
270,22.08837090029041,187,sediment_rep0,0.5083333333333333,10,1.9554000000000002,5,0.3125,0.625,0.25
280,31.536026122552215,195,sediment_rep0,0.45,8,2.3054,7,0.4375,0.5,0.375
290,31.15278584447929,202,sediment_rep0,0.725,9,0.6554000000000002,5,0.3125,0.5625,0.25
300,28.608916198524717,211,sediment_rep0,0.48333333333333334,7,2.1054,5,0.3125,0.4375,0.3125
0,76.51303927085797,0,sediment_rep1,0.1,4,4.4054,12,0.75,0.25,0.6875
10,49.44207293702477,7,sediment_rep1,0.2916666666666667,5,3.2554,10,0.625,0.3125,0.625
20,39.04352461793393,15,sediment_rep1,0.325,6,3.0554,7,0.4375,0.375,0.4375
30,36.406219177394235,21,sediment_rep1,0.35,6,2.9054,6,0.375,0.375,0.375
40,27.12685582826041,27,sediment_rep1,0.4666666666666667,6,2.2054,5,0.3125,0.375,0.3125
50,22.3634487017195,37,sediment_rep1,0.8666666666666667,10,0.5,4,0.25,0.625,0.25
60,20.38130012500557,44,sediment_rep1,0.6416666666666667,11,1.1553999999999998,4,0.25,0.6875,0.25
70,23.175894842612127,53,sediment_rep1,0.7333333333333333,11,0.6054000000000004,4,0.25,0.6875,0.25
80,36.597473599184234,60,sediment_rep1,0.3333333333333333,6,3.0054000000000003,7,0.4375,0.375,0.3125
90,27.844633101036703,64,sediment_rep1,0.43333333333333335,8,2.4054,5,0.3125,0.5,0.25
100,24.146651325627555,70,sediment_rep1,0.6583333333333333,10,1.0554000000000001,4,0.25,0.625,0.125
110,27.591241952787936,79,sediment_rep1,0.5416666666666666,7,1.7554000000000003,5,0.3125,0.4375,0.25
120,21.47728208609079,87,sediment_rep1,0.6083333333333333,10,1.3554000000000004,5,0.3125,0.625,0.25
130,22.63422080366877,94,sediment_rep1,0.6666666666666666,9,1.0054000000000003,4,0.25,0.5625,0.1875
140,21.660484166703192,101,sediment_rep1,0.5333333333333333,10,1.8054000000000001,6,0.375,0.625,0.25
150,25.40486804162165,108,sediment_rep1,0.4666666666666667,10,2.2054,5,0.3125,0.625,0.3125
160,21.779029890339164,114,sediment_rep1,0.675,11,0.9553999999999998,5,0.3125,0.6875,0.25
170,31.266960702393636,121,sediment_rep1,0.39166666666666666,9,2.6554,7,0.4375,0.5625,0.4375
180,33.10740760328114,127,sediment_rep1,0.35,9,2.9054,8,0.5,0.5625,0.5
190,33.01189249638891,130,sediment_rep1,0.36666666666666664,9,2.8054,8,0.5,0.5625,0.5
200,23.613752624183455,135,sediment_rep1,0.48333333333333334,9,2.1054,6,0.375,0.5625,0.3125
210,21.9044250918191,141,sediment_rep1,0.5,10,2.0054,5,0.3125,0.625,0.1875
220,25.45891881526108,151,sediment_rep1,0.6583333333333333,9,1.0554000000000001,4,0.25,0.5625,0.1875
230,29.462691829197006,158,sediment_rep1,0.375,8,2.7554,5,0.3125,0.5,0.25
240,43.6645756298526,165,sediment_rep1,0.25833333333333336,7,3.4554,5,0.3125,0.4375,0.3125
250,22.494434047202716,172,sediment_rep1,0.5416666666666666,11,1.7554000000000003,4,0.25,0.6875,0.125
260,20.081851980452196,177,sediment_rep1,0.6833333333333333,11,0.9054,4,0.25,0.6875,0.125
270,21.144213185714978,185,sediment_rep1,0.5666666666666667,11,1.6054000000000002,4,0.25,0.6875,0.1875
280,27.313193203267478,192,sediment_rep1,0.49166666666666664,8,2.0554,6,0.375,0.5,0.25
290,27.936083008232487,201,sediment_rep1,0.4666666666666667,8,2.2054,4,0.25,0.5,0.25
300,34.44533179141856,206,sediment_rep1,0.4,8,2.6054,6,0.375,0.5,0.375
0,81.86644162386044,1,sediment_rep2,0.06666666666666667,3,4.6054,10,0.625,0.1875,0.625
10,48.890897172721104,8,sediment_rep2,0.24166666666666667,5,3.5553999999999997,7,0.4375,0.3125,0.4375
20,32.7055010230694,12,sediment_rep2,0.4166666666666667,6,2.5054,6,0.375,0.375,0.25
30,24.142308999835624,20,sediment_rep2,0.5833333333333334,9,1.5053999999999998,7,0.4375,0.5625,0.1875
40,38.18067624840479,28,sediment_rep2,0.36666666666666664,6,2.8054,7,0.4375,0.375,0.3125
50,25.16563396035471,37,sediment_rep2,0.5166666666666667,7,1.9053999999999998,4,0.25,0.4375,0.25
60,27.823501366955252,42,sediment_rep2,0.4666666666666667,7,2.2054,6,0.375,0.4375,0.375
70,24.80339229149755,49,sediment_rep2,0.5916666666666667,8,1.4554,5,0.3125,0.5,0.25
80,25.06368114227673,55,sediment_rep2,0.7333333333333333,11,0.6054000000000004,3,0.1875,0.6875,0.1875
90,21.337784509740963,64,sediment_rep2,0.8583333333333333,13,0.5,2,0.125,0.8125,0.125
100,23.655714308926573,71,sediment_rep2,0.725,11,0.6554000000000002,3,0.1875,0.6875,0.1875
110,15.658203105503723,77,sediment_rep2,1.0,16,0.5,1,0.0625,1.0,0.0625
120,14.39252713609186,80,sediment_rep2,0.9833333333333333,15,0.5,2,0.125,0.9375,0.125
130,15.65128324466388,82,sediment_rep2,1.0,16,0.5,1,0.0625,1.0,0.0625
140,20.775603619152825,88,sediment_rep2,0.6666666666666666,10,1.0054000000000003,4,0.25,0.625,0.1875
150,25.28933959357377,96,sediment_rep2,0.575,9,1.5554000000000003,6,0.375,0.5625,0.25
160,26.30349924099827,102,sediment_rep2,0.48333333333333334,8,2.1054,5,0.3125,0.5,0.3125
170,26.269728038770918,110,sediment_rep2,0.5166666666666667,9,1.9053999999999998,5,0.3125,0.5625,0.25
180,30.219492652165627,116,sediment_rep2,0.4083333333333333,7,2.5554,5,0.3125,0.4375,0.3125
190,24.865712601620583,123,sediment_rep2,0.49166666666666664,8,2.0554,5,0.3125,0.5,0.25
200,26.89447116943106,133,sediment_rep2,0.5666666666666667,8,1.6054000000000002,4,0.25,0.5,0.1875
210,23.78278881116473,140,sediment_rep2,0.5333333333333333,9,1.8054000000000001,4,0.25,0.5625,0.1875
220,20.53139701628417,148,sediment_rep2,0.6,10,1.4054000000000002,4,0.25,0.625,0.1875
230,29.52374399554237,151,sediment_rep2,0.425,8,2.4554,5,0.3125,0.5,0.3125
240,22.345750351081413,157,sediment_rep2,0.7166666666666667,10,0.7054,4,0.25,0.625,0.1875
250,20.17227807821721,166,sediment_rep2,0.55,10,1.7053999999999998,5,0.3125,0.625,0.25
260,23.832547305813016,173,sediment_rep2,0.7666666666666667,11,0.5,4,0.25,0.6875,0.125
270,16.88537175120314,180,sediment_rep2,0.6833333333333333,13,0.9054,3,0.1875,0.8125,0.1875
280,19.901403934309737,187,sediment_rep2,0.5583333333333333,11,1.6554,4,0.25,0.6875,0.25
290,20.00410250327455,193,sediment_rep2,0.6416666666666667,12,1.1553999999999998,3,0.1875,0.75,0.1875
300,16.910001220459442,197,sediment_rep2,0.95,14,0.5,2,0.125,0.875,0.125
