step,F,accepted,n_comparable,label,comp_frac,n_layers,d_eff,aw,aw_ratio,height_ratio,width_ratio
0,208.49979766326223,0,1006,mc_Lor2D,0.4990079365079365,10,2.0113523809523812,13,0.203125,0.15625,0.140625
10,197.28112892085937,5,1133,mc_Lor2D,0.5620039682539683,12,1.6333761904761905,12,0.1875,0.1875,0.15625
20,197.3592861929269,6,1122,mc_Lor2D,0.5565476190476191,12,1.6661142857142857,12,0.1875,0.1875,0.15625
30,173.22402180616646,10,1388,mc_Lor2D,0.6884920634920635,18,0.8744476190476191,11,0.171875,0.28125,0.09375
40,165.22192700317768,13,1404,mc_Lor2D,0.6964285714285714,19,0.8268285714285717,11,0.171875,0.296875,0.109375
50,156.1863101640217,18,1390,mc_Lor2D,0.689484126984127,24,0.8684952380952382,11,0.171875,0.375,0.125
60,147.1837222493943,21,1302,mc_Lor2D,0.6458333333333334,25,1.1303999999999998,12,0.1875,0.390625,0.109375
70,144.8143547900909,22,1291,mc_Lor2D,0.6403769841269841,25,1.1631380952380956,13,0.203125,0.390625,0.109375
80,144.8143547900909,22,1291,mc_Lor2D,0.6403769841269841,25,1.1631380952380956,13,0.203125,0.390625,0.109375
90,144.8143547900909,22,1291,mc_Lor2D,0.6403769841269841,25,1.1631380952380956,13,0.203125,0.390625,0.109375
100,144.8143547900909,22,1291,mc_Lor2D,0.6403769841269841,25,1.1631380952380956,13,0.203125,0.390625,0.109375
110,138.1750490291871,24,1299,mc_Lor2D,0.6443452380952381,28,1.1393285714285712,12,0.1875,0.4375,0.109375
120,136.7094946610559,26,1331,mc_Lor2D,0.660218253968254,30,1.0440904761904763,13,0.203125,0.46875,0.125
130,129.0100627829137,31,1377,mc_Lor2D,0.6830357142857143,31,0.9071857142857143,13,0.203125,0.484375,0.125
140,127.35405988086772,32,1385,mc_Lor2D,0.6870039682539683,31,0.8833761904761905,12,0.1875,0.484375,0.125
150,128.32799948188884,34,1296,mc_Lor2D,0.6428571428571429,31,1.1482571428571426,12,0.1875,0.484375,0.125
160,125.23711928943398,36,1260,mc_Lor2D,0.625,32,1.2554,12,0.1875,0.5,0.140625
170,121.97793216032035,37,1259,mc_Lor2D,0.6245039682539683,32,1.2583761904761905,12,0.1875,0.5,0.140625
180,120.66168402086521,39,1332,mc_Lor2D,0.6607142857142857,34,1.0411142857142859,13,0.203125,0.53125,0.171875
190,121.53451909947759,40,1330,mc_Lor2D,0.6597222222222222,34,1.0470666666666668,13,0.203125,0.53125,0.171875
200,122.5366989451,43,1221,mc_Lor2D,0.6056547619047619,34,1.371471428571429,13,0.203125,0.53125,0.1875
210,123.89063393461275,44,1307,mc_Lor2D,0.6483134920634921,35,1.1155190476190475,14,0.21875,0.546875,0.203125
220,118.5743559335789,45,1285,mc_Lor2D,0.6374007936507936,35,1.1809952380952384,14,0.21875,0.546875,0.1875
230,116.38690322797885,46,1299,mc_Lor2D,0.6443452380952381,37,1.1393285714285712,14,0.21875,0.578125,0.1875
240,118.60734353634804,47,1342,mc_Lor2D,0.6656746031746031,36,1.0113523809523812,13,0.203125,0.5625,0.171875
250,118.42925967510484,48,1313,mc_Lor2D,0.6512896825396826,36,1.0976619047619047,13,0.203125,0.5625,0.171875
260,115.9293080632375,50,1307,mc_Lor2D,0.6483134920634921,36,1.1155190476190475,13,0.203125,0.5625,0.1875
270,118.21379059852809,53,1354,mc_Lor2D,0.6716269841269841,36,0.9756380952380956,13,0.203125,0.5625,0.1875
280,121.61820092608001,54,1304,mc_Lor2D,0.6468253968253969,36,1.124447619047619,14,0.21875,0.5625,0.203125
290,121.70329050905791,57,1257,mc_Lor2D,0.6235119047619048,36,1.2643285714285715,14,0.21875,0.5625,0.21875
300,116.02280171728587,60,1339,mc_Lor2D,0.6641865079365079,36,1.0202809523809526,14,0.21875,0.5625,0.203125
310,116.10427321225139,62,1276,mc_Lor2D,0.6329365079365079,36,1.2077809523809526,14,0.21875,0.5625,0.203125
320,114.36763217695012,63,1271,mc_Lor2D,0.6304563492063492,36,1.222661904761905,15,0.234375,0.5625,0.21875
330,114.51698804661862,64,1245,mc_Lor2D,0.6175595238095238,36,1.300042857142857,15,0.234375,0.5625,0.21875
340,114.51698804661862,64,1245,mc_Lor2D,0.6175595238095238,36,1.300042857142857,15,0.234375,0.5625,0.21875
350,114.73400946942658,65,1233,mc_Lor2D,0.6116071428571429,36,1.3357571428571426,16,0.25,0.5625,0.234375
360,113.23044335417732,66,1246,mc_Lor2D,0.6180555555555556,37,1.2970666666666666,16,0.25,0.578125,0.234375
370,114.20494917050252,67,1272,mc_Lor2D,0.6309523809523809,37,1.2196857142857145,15,0.234375,0.578125,0.21875
