family,N,rep,log_H,pi_geo,sigma_hist,xi_dim,pi_cg,d_eff,n_layers,comp_frac,log_H_cg,pi_geo_cg,sigma_hist_cg,xi_dim_cg,pi_cg_cg,d_eff_cg
Lor2D,16,0,17.006783442844746,2.21476718799665,0.46875,0.3322789115646262,0.19811778841621622,2.5054,5,0.4166666666666667,8.57437660494369,0.5215336999745558,0.6818181818181818,1.1419283746556468,0.08359115221266261,2.169036363636364
Lor2D,16,1,17.178632170774197,0.9938329715575727,0.46875,1.668566628576571,0.1152563220671491,2.2054,5,0.4666666666666667,9.095981155854655,0.4930580542640536,0.6818181818181818,0.0,0.1399850883419208,2.169036363636364
Lor2D,16,2,15.44231342309622,0.2607962292187499,0.46875,0.5433333333333334,0.18584186838267855,2.1054,5,0.48333333333333334,8.72371943690701,0.26585347952425153,0.5454545454545454,1.1120661157024787,0.1972876609676423,2.0599454545454545
Lor2D,16,3,16.341375353003595,0.5174763712352881,0.375,1.4281784363669092,0.11295369932631079,1.9053999999999998,4,0.5166666666666667,9.892172212356476,0.8552806765803795,0.5454545454545454,0.07438016528925631,0.1732479454580851,2.278127272727273
Lor2D,16,4,15.629348188496072,1.1861266647828592,0.5625,1.235893832,0.09532040471695018,2.3054,6,0.45,10.92049145537107,7.715175966113558,0.5454545454545454,0.0,0.16795239229195877,2.9326727272727275
Lor2D,16,5,13.993473881441243,0.941839383698766,0.65625,1.6301496400000004,0.10186756826714438,2.1554,7,0.475,9.48247406746249,2.0637568532440698,0.5454545454545454,0.0,0.1322607085588134,2.496309090909091
Lor2D,16,6,16.648834998790186,0.3387626837677178,0.5625,1.6606818181818173,0.14479452028287135,1.9554000000000002,6,0.5083333333333333,8.776620454807693,0.9452798751779236,0.6818181818181818,0.07438016528925595,0.18519349644155325,1.7326727272727276
Lor2D,16,7,15.578224993261738,1.174437925301341,0.46875,1.7825045800000008,0.11702900233271513,2.3554000000000004,5,0.44166666666666665,7.402984915123572,0.8855823076366469,0.6818181818181818,2.7856823831404967,0.0990561407200597,2.169036363636364
Lor3D,16,0,22.569370263872408,26.921798658422336,0.375,0.0,0.12281912712232147,3.7554,4,0.20833333333333334,11.78508772576397,18.398220138867856,0.5454545454545454,0.0,0.11197677640732957,3.478127272727273
Lor3D,16,1,20.823020086319993,14.915565058742006,0.375,0.0899999999999999,0.1124814998568749,3.3054,4,0.2833333333333333,12.171481200760553,18.30956648270431,0.40909090909090906,0.0,0.17662251036677878,3.478127272727273
Lor3D,16,2,20.77408154830934,13.28726378691931,0.28125,0.0,0.16697616865793827,3.1554,3,0.30833333333333335,12.58121706748694,16.490231952309873,0.40909090909090906,0.0,0.14808180995843973,3.2599454545454547
Lor3D,16,3,20.025801038876224,9.490107687734744,0.28125,0.0,0.09228285767363893,2.9554,3,0.3416666666666667,11.454842064638617,10.68786892532872,0.40909090909090906,0.0,0.16435417526093885,3.0417636363636364
Lor3D,16,4,20.166020706780017,12.568497569730775,0.375,0.0,0.11481560722867719,3.2054,4,0.3,11.792550951364216,19.520736540509546,0.40909090909090906,0.0,0.14838347926445053,3.478127272727273
