d,N,hubble,rep,R_dS,R_occupancy,sigma_val,wall_val,alpha_N,R_hat,n_causal_pairs,n_links
2,64,0.0,0,0.0,0.8476357267950964,1.0,8.94427190999916,8.94427190999916,28.342812498577395,1142,174
2,64,0.0,1,0.0,0.7997750281214848,0.9999999999999998,8.944271909999157,8.94427190999916,-14.913758191558461,889,178
2,64,0.0,2,0.0,0.8149284253578732,1.0,8.94427190999916,8.94427190999916,-65.41270181758412,978,181
2,64,0.0,3,0.0,0.8147345612134345,1.0,8.94427190999916,8.94427190999916,17.543363352199847,923,171
2,64,0.0,4,0.0,0.8410117434507678,1.0,8.94427190999916,8.94427190999916,-7.5415055557345205,1107,176
2,64,0.25,0,0.125,0.8258258258258259,1.0,8.94427190999916,8.94427190999916,-5.580486742002332,999,174
2,64,0.25,1,0.125,0.8194444444444444,1.0,8.94427190999916,8.94427190999916,-8.498175929123775,936,169
2,64,0.25,2,0.125,0.8171247357293869,1.0,8.94427190999916,8.94427190999916,-45.0809456627027,946,173
2,64,0.25,3,0.125,0.8132875143184422,1.0,8.94427190999916,8.94427190999916,4.031428329128259,873,163
2,64,0.25,4,0.125,0.7850877192982456,0.9999999999999998,8.944271909999157,8.94427190999916,-59.040214600309405,912,196
2,64,0.5,0,0.5,0.7966507177033493,0.9999999999999998,8.944271909999157,8.94427190999916,-29.225550763759482,836,170
2,64,0.5,1,0.5,0.7718040621266428,0.9999999999999991,8.944271909999152,8.94427190999916,-4.262992047100866,837,191
2,64,0.5,2,0.5,0.7707006369426752,0.9999999999999991,8.944271909999152,8.94427190999916,29.132343660462816,785,180
2,64,0.5,3,0.5,0.8229988726042841,1.0,8.94427190999916,8.94427190999916,53.630712074674435,887,157
2,64,0.5,4,0.5,0.7851851851851852,0.9999999999999998,8.944271909999157,8.94427190999916,-6.086344084453604,810,174
2,64,1.0,0,2.0,0.7599469496021221,0.9999999999999982,8.944271909999143,8.94427190999916,23.30948883496988,754,181
2,64,1.0,1,2.0,0.7786666666666666,0.9999999999999996,8.944271909999156,8.94427190999916,210.83497521324338,750,166
2,64,1.0,2,2.0,0.7405660377358491,0.9999999999999938,8.944271909999104,8.94427190999916,0.6215626777799592,636,165
2,64,1.0,3,2.0,0.7364864864864865,0.9999999999999918,8.944271909999086,8.94427190999916,118.69727151141386,740,195
2,64,1.0,4,2.0,0.7839673913043479,0.9999999999999996,8.944271909999156,8.94427190999916,-35.42651077409624,736,159
2,64,2.0,0,8.0,0.6545961002785515,0.9999999999980691,8.94427190998189,8.94427190999916,2556.9134791130796,359,124
2,64,2.0,1,8.0,0.6790830945558739,0.9999999999996225,8.944271909995782,8.94427190999916,2011.335938080597,349,112
2,64,2.0,2,8.0,0.697841726618705,0.9999999999998919,8.944271909998193,8.94427190999916,553.7950962119864,417,126
2,64,2.0,3,8.0,0.5437262357414449,0.9999999968684854,8.94427188199004,8.94427190999916,2394.4701180882194,263,120
2,64,2.0,4,8.0,0.695067264573991,0.9999999999998699,8.944271909997996,8.94427190999916,13547.868359262122,446,136
2,128,0.0,0,0.0,0.8903769841269842,1.0,6.324555320336759,6.324555320336759,-16.859929685872544,4032,442
2,128,0.0,1,0.0,0.8908863920099875,1.0,6.324555320336759,6.324555320336759,-16.171391001338506,4005,437
2,128,0.0,2,0.0,0.9006809110119747,1.0,6.324555320336759,6.324555320336759,5.725496325895776,4259,423
2,128,0.0,3,0.0,0.8939666238767651,1.0,6.324555320336759,6.324555320336759,-14.485558214102753,3895,413
2,128,0.0,4,0.0,0.8833960236432026,1.0,6.324555320336759,6.324555320336759,-47.82943807279514,3722,434
2,128,0.25,0,0.125,0.8893732970027248,1.0,6.324555320336759,6.324555320336759,12.899137016589814,3670,406
2,128,0.25,1,0.125,0.885145482388974,1.0,6.324555320336759,6.324555320336759,-34.04322187678527,3918,450
2,128,0.25,2,0.125,0.8929341963322546,1.0,6.324555320336759,6.324555320336759,37.060644672751486,3708,397
2,128,0.25,3,0.125,0.8989574979951884,1.0,6.324555320336759,6.324555320336759,-4.494563383906724,3741,378
2,128,0.25,4,0.125,0.8892143808255659,1.0,6.324555320336759,6.324555320336759,8.360200643448218,3755,416
2,128,0.5,0,0.5,0.8877697841726618,1.0,6.324555320336759,6.324555320336759,113.75863068509025,3475,390
2,128,0.5,1,0.5,0.8779157830960315,1.0,6.324555320336759,6.324555320336759,8.553573713873226,3301,403
2,128,0.5,2,0.5,0.8606480025165146,1.0,6.324555320336759,6.324555320336759,62.678890930866594,3179,443
2,128,0.5,3,0.5,0.8635057471264368,1.0,6.324555320336759,6.324555320336759,2.0575304810421273,3480,475
2,128,0.5,4,0.5,0.8819241982507289,1.0,6.324555320336759,6.324555320336759,-33.729101504733364,3430,405
2,128,1.0,0,2.0,0.8247710075667065,1.0,6.324555320336759,6.324555320336759,36.84194177984422,2511,440
2,128,1.0,1,2.0,0.8309337721102427,1.0,6.324555320336759,6.324555320336759,38.610876630078046,2431,411
2,128,1.0,2,2.0,0.8297706956859696,1.0,6.324555320336759,6.324555320336759,29.819241380321124,2573,438
2,128,1.0,3,2.0,0.8630285507770148,1.0,6.324555320336759,6.324555320336759,59.03948269154094,2767,379
2,128,1.0,4,2.0,0.8414201183431953,1.0,6.324555320336759,6.324555320336759,183.63838433936985,2535,402
2,128,2.0,0,8.0,0.7497942386831276,0.9999999999999967,6.324555320336738,6.324555320336759,2064.3330462997324,1215,304
2,128,2.0,1,8.0,0.7878787878787878,0.9999999999999998,6.324555320336757,6.324555320336759,1132.3039188912726,1518,322
2,128,2.0,2,8.0,0.7860665844636252,0.9999999999999998,6.324555320336757,6.324555320336759,1353.8089850404008,1622,347
2,128,2.0,3,8.0,0.7694444444444444,0.9999999999999991,6.324555320336754,6.324555320336759,1385.7513672500768,1440,332
2,128,2.0,4,8.0,0.7585692995529061,0.9999999999999982,6.3245553203367475,6.324555320336759,3840.006186682156,1342,324
2,256,0.0,0,0.0,0.9373054414145188,1.0,4.47213595499958,4.47213595499958,3.19047979843819,16062,1007
2,256,0.0,1,0.0,0.9325971058644326,1.0,4.47213595499958,4.47213595499958,4.624996755297616,15756,1062
2,256,0.0,2,0.0,0.9374256930104499,1.0,4.47213595499958,4.47213595499958,-5.595455990914543,15981,1000
2,256,0.0,3,0.0,0.9379400585706275,1.0,4.47213595499958,4.47213595499958,24.59713555985983,16049,996
2,256,0.0,4,0.0,0.9330271243249953,1.0,4.47213595499958,4.47213595499958,-10.483029519905326,16111,1079
2,256,0.25,0,0.125,0.9311771601958485,1.0,4.47213595499958,4.47213595499958,5.7072517830743275,14501,998
2,256,0.25,1,0.125,0.9302630715738371,1.0,4.47213595499958,4.47213595499958,-13.999608376022005,15243,1063
2,256,0.25,2,0.125,0.9320601543784934,1.0,4.47213595499958,4.47213595499958,-1.6350333752424655,15028,1021
2,256,0.25,3,0.125,0.9350657938239767,1.0,4.47213595499958,4.47213595499958,0.6440042164600396,15123,982
2,256,0.25,4,0.125,0.9305555555555556,1.0,4.47213595499958,4.47213595499958,-5.912355784777876,14400,1000
2,256,0.5,0,0.5,0.9242795830778663,1.0,4.47213595499958,4.47213595499958,27.441120212340692,13048,988
2,256,0.5,1,0.5,0.9290684624017957,1.0,4.47213595499958,4.47213595499958,24.196378118680887,13365,948
2,256,0.5,2,0.5,0.9256483726397766,1.0,4.47213595499958,4.47213595499958,41.923299762142136,13611,1012
2,256,0.5,3,0.5,0.9186952679360488,1.0,4.47213595499958,4.47213595499958,40.80886051521041,12447,1012
2,256,0.5,4,0.5,0.9291422862851434,1.0,4.47213595499958,4.47213595499958,33.47842727705661,14014,993
2,256,1.0,0,2.0,0.911219512195122,1.0,4.47213595499958,4.47213595499958,75.42488417764496,11275,1001
2,256,1.0,1,2.0,0.9089977645305514,1.0,4.47213595499958,4.47213595499958,74.23332159304829,10736,977
2,256,1.0,2,2.0,0.9138250555967383,1.0,4.47213595499958,4.47213595499958,104.34938696436716,10792,930
2,256,1.0,3,2.0,0.905708245243129,1.0,4.47213595499958,4.47213595499958,185.75637919243317,9460,892
