beta,gamma,lam,eta,kappa,L_B,L_C,L_A,L_D,L_total
0.5,0.5,0.1,0.1,0.05,0.0,0.055154833057347606,4.393126080174807,0.0,2.251717873144751
0.5,0.5,0.1,0.1,0.2,0.0,0.05543094820547613,4.40415765744047,0.0,2.257509776925711
0.5,0.5,0.1,0.1,0.35,0.0,0.055705669592811265,4.415226080535056,0.0,2.263318709860339
0.5,0.5,0.1,0.1,0.5,0.0,0.05597899316652346,4.426331349458566,0.0,2.2691446678958065
0.5,0.5,0.1,0.4,0.05,0.0,0.030241046277152312,5.0491797539639265,0.0,2.5548309232591158
0.5,0.5,0.1,0.4,0.2,0.0,0.03045546638654824,5.0632711949169975,0.0,2.562091063845047
0.5,0.5,0.1,0.4,0.35,0.0,0.030669654955742212,5.077399481698996,0.0,2.56936939580524
0.5,0.5,0.1,0.4,0.5,0.0,0.03088360252534467,5.091564614309895,0.0,2.576665909680292
0.5,0.5,0.1,0.7,0.05,0.0,0.017933411725676886,5.952247734848644,0.0,2.994057279149999
0.5,0.5,0.1,0.7,0.2,0.0,0.01807962845966804,5.968294312233117,0.0,3.0022267845762265
0.5,0.5,0.1,0.7,0.35,0.0,0.01822603293360868,5.98436262555038,0.0,3.0104073457087988
0.5,0.5,0.1,0.7,0.5,0.0,0.01837261920602456,6.000452674800401,0.0,3.018598956606225
0.5,0.5,0.1,1.0,0.05,0.0,0.012506229449445436,6.948144230867191,0.0,3.486578344883041
0.5,0.5,0.1,1.0,0.2,0.0,0.012541489963478734,6.965471940244823,0.0,3.4952774600858905
0.5,0.5,0.1,1.0,0.35,0.0,0.012581124690461229,6.9828213855552175,0.0,3.5039918174680698
0.5,0.5,0.1,1.0,0.5,0.0,0.012625131167425323,7.000192566798392,0.0,3.5127214145666215
0.5,0.5,0.5666666666666667,0.1,0.05,0.0,0.04700940656897295,4.2346643414764245,0.0,2.164341577307185
0.5,0.5,0.5666666666666667,0.1,0.2,0.0,0.04728930567781304,4.245639937473987,0.0,2.1701092744148065
0.5,0.5,0.5666666666666667,0.1,0.35,0.0,0.04756807617433246,4.256652379300461,0.0,2.1758942658245632
0.5,0.5,0.5666666666666667,0.1,0.5,0.0,0.04784570934901755,4.267701666955879,0.0,2.181696542826957
0.5,0.5,0.5666666666666667,0.4,0.05,0.0,0.025305918369938972,4.896796462248487,0.0,2.4737041494941825
0.5,0.5,0.5666666666666667,0.4,0.2,0.0,0.025512412551009236,4.910831921933441,0.0,2.4809283735177297
0.5,0.5,0.5666666666666667,0.4,0.35,0.0,0.025718853740275133,4.924904227447331,0.0,2.4881709674639407
0.5,0.5,0.5666666666666667,0.4,0.5,0.0,0.025925231169713667,4.939013378790138,0.0,2.4954319205647826
0.5,0.5,0.5666666666666667,0.7,0.05,0.0,0.014967823601911847,5.79344970512314,0.0,2.911692676163482
0.5,0.5,0.5666666666666667,0.7,0.2,0.0,0.015105292862838831,5.809279964689008,0.0,2.919745275207343
0.5,0.5,0.5666666666666667,0.7,0.35,0.0,0.015243033439448975,5.825131960187671,0.0,2.9278090135332846
0.5,0.5,0.5666666666666667,0.7,0.5,0.0,0.01538103926229332,5.841005691619076,0.0,2.9358838850718314
0.5,0.5,0.5666666666666667,1.0,0.05,0.0,0.010019186476285698,6.776549885437406,0.0,3.398294129194989
0.5,0.5,0.5666666666666667,1.0,0.2,0.0,0.010113117755333589,6.793661276996436,0.0,3.4069437562535514
0.5,0.5,0.5666666666666667,1.0,0.35,0.0,0.010207334410226525,6.810794404488227,0.0,3.41560453665434
0.5,0.5,0.5666666666666667,1.0,0.5,0.0,0.010301833453304857,6.827949267912799,0.0,3.424276467409704
0.5,0.5,1.0333333333333332,0.1,0.05,0.0,0.039407414534476076,4.080057910123949,0.0,2.0794363695964506
0.5,0.5,1.0333333333333332,0.1,0.2,0.0,0.03968618981826914,4.090977524853417,0.0,2.085174952244978
0.5,0.5,1.0333333333333332,0.1,0.35,0.0,0.039964137095883485,4.10193398541178,0.0,2.090931129801773
